area_type,availability,location,size,society,total_sqft,bath,balcony,price
Super built-up  Area,19-Dec,Electronic City Phase II,2 BHK,Electronic City Phase II,1056,2.0,1.0,39.07
Plot  Area,Ready To Move,Chikka Tirupathi,4 Bedroom,Chikka Tirupathi,2600,5.0,3.0,120.0
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,Uttarahalli,1440,2.0,3.0,62.0
Super built-up  Area,Ready To Move,Lingadheeranahalli,3 BHK,Lingadheeranahalli,1521,3.0,1.0,95.0
Super built-up  Area,Ready To Move,Kothanur,2 BHK,Kothanur,1200,2.0,1.0,51.0
Super built-up  Area,Ready To Move,Whitefield,2 BHK,Whitefield,1170,2.0,1.0,38.0
Super built-up  Area,18-May,Old Airport Road,4 BHK,Old Airport Road,2732,4.0,0.0,204.0
Super built-up  Area,Ready To Move,Rajaji Nagar,4 BHK,Rajaji Nagar,3300,4.0,0.0,600.0
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,Marathahalli,1310,3.0,1.0,63.25
Plot  Area,Ready To Move,Gandhi Bazar,6 Bedroom,Gandhi Bazar,1020,6.0,0.0,370.0
Super built-up  Area,18-Feb,Whitefield,3 BHK,Whitefield,1800,2.0,2.0,70.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Whitefield,2785,5.0,3.0,295.0
Super built-up  Area,Ready To Move,7th Phase JP Nagar,2 BHK,7th Phase JP Nagar,1000,2.0,1.0,38.0
Built-up  Area,Ready To Move,Gottigere,2 BHK,Gottigere,1100,2.0,2.0,40.0
Plot  Area,Ready To Move,Sarjapur,3 Bedroom,Sarjapur,2250,3.0,2.0,148.0
Super built-up  Area,Ready To Move,Mysore Road,2 BHK,Mysore Road,1175,2.0,2.0,73.5
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Bisuvanahalli,1180,3.0,2.0,48.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Raja Rajeshwari Nagar,1540,3.0,3.0,60.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,3 BHK,Ramakrishnappa Layout,2770,4.0,2.0,290.0
Super built-up  Area,Ready To Move,Manayata Tech Park,2 BHK,Manayata Tech Park,1100,2.0,2.0,48.0
Built-up  Area,Ready To Move,Kengeri,1 BHK,Kengeri,600,1.0,1.0,15.0
Super built-up  Area,19-Dec,Binny Pete,3 BHK,Binny Pete,1755,3.0,1.0,122.0
Plot  Area,Ready To Move,Thanisandra,4 Bedroom,Thanisandra,2800,5.0,2.0,380.0
Super built-up  Area,Ready To Move,Bellandur,3 BHK,Bellandur,1767,3.0,1.0,103.0
Super built-up  Area,18-Nov, Thanisandra,1 RK, Thanisandra,510,1.0,0.0,25.25
Super built-up  Area,18-May,Mangammanapalya,3 BHK,Mangammanapalya,1250,3.0,2.0,56.0
Super built-up  Area,Ready To Move,Electronic City,2 BHK,Electronic City,660,1.0,1.0,23.1
Built-up  Area,20-Dec,Whitefield,3 BHK,Whitefield,1610,3.0,2.0,81.0
Super built-up  Area,17-Oct,Ramagondanahalli,2 BHK,Ramagondanahalli,1151,2.0,2.0,48.77
Super built-up  Area,Ready To Move,Electronic City,3 BHK,Electronic City,1025,2.0,1.0,47.0
Super built-up  Area,19-Dec,Yelahanka,4 BHK,Yelahanka,2100 - 2850,4.0,0.0,186.0
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,Bisuvanahalli,1075,2.0,1.0,35.0
Super built-up  Area,Ready To Move,Hebbal,3 BHK,Hebbal,1760,2.0,2.0,123.0
Super built-up  Area,Ready To Move,Raja Rajeshwari Nagar,3 BHK,Raja Rajeshwari Nagar,1693,3.0,3.0,57.39
Built-up  Area,Ready To Move,Kasturi Nagar,3 BHK,Kasturi Nagar,1925,3.0,0.0,125.0
Super built-up  Area,21-Dec,Kanakpura Road,2 BHK,Kanakpura Road,700,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Electronics City Phase 1,2 BHK,Electronics City Phase 1,1070,2.0,1.0,45.5
Super built-up  Area,Ready To Move,Kundalahalli,3 BHK,Kundalahalli,1724,3.0,2.0,125.0
Super built-up  Area,Ready To Move,Chikkalasandra,3 BHK,Chikkalasandra,1290,2.0,2.0,56.12
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,Uttarahalli,1143,2.0,2.0,45.0
Built-up  Area,Ready To Move,Murugeshpalya,2 BHK,Murugeshpalya,1296,2.0,0.0,81.0
Super built-up  Area,19-Dec,Sarjapur  Road,3 BHK,Sarjapur  Road,1254,3.0,2.0,38.0
Super built-up  Area,Ready To Move,Ganga Nagar,1 BHK,Ganga Nagar,600,1.0,0.0,38.0
Plot  Area,Ready To Move,Yelahanka,1 Bedroom,Yelahanka,660,1.0,0.0,48.0
Super built-up  Area,19-Sep,Kanakpura Road,2 BHK,Kanakpura Road,1330.74,2.0,2.0,91.79
Plot  Area,Ready To Move,HSR Layout,8 Bedroom,HSR Layout,600,9.0,0.0,200.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Doddathoguru,970,2.0,0.0,33.0
Super built-up  Area,20-Sep,Whitefield,2 BHK,Whitefield,1459,2.0,1.0,94.82
Plot  Area,Ready To Move,KR Puram,2 Bedroom,KR Puram,800,1.0,1.0,130.0
Built-up  Area,Ready To Move,Himagiri Meadows,2 BHK,Himagiri Meadows,869,2.0,1.0,36.0
Super built-up  Area,Ready To Move,Adarsh Nagar,2 BHK,Adarsh Nagar,1270,2.0,1.0,50.0
Super built-up  Area,18-Mar,Bhoganhalli,3 BHK,Bhoganhalli,1670,3.0,1.0,99.0
Built-up  Area,Ready To Move,Whitefield,3 BHK,Whitefield,2010,3.0,2.0,91.0
Super built-up  Area,Ready To Move,Lakshminarayana Pura,2 BHK,Lakshminarayana Pura,1185,2.0,2.0,75.0
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,Yelahanka,1600,2.0,3.0,75.0
Super built-up  Area,Ready To Move,Begur Road,2 BHK,Begur Road,1200,2.0,2.0,44.0
Built-up  Area,20-Feb,Devanahalli,4 Bedroom,Devanahalli,3010 - 3410,0.0,0.0,192.0
Super built-up  Area,Ready To Move,Ramakrishnappa Layout,2 BHK,Ramakrishnappa Layout,1500,2.0,2.0,185.0
Plot  Area,Ready To Move,Murugeshpalya,6 Bedroom,Murugeshpalya,1407,4.0,1.0,150.0
Super built-up  Area,Ready To Move,Govindaraja Nagar Ward,2 BHK,Govindaraja Nagar Ward,840,2.0,2.0,45.0
Plot  Area,Ready To Move,Tharabanahalli,3 Bedroom,Tharabanahalli,4395,3.0,2.0,240.0
Super built-up  Area,Ready To Move,Ganga Nagar,2 BHK,Ganga Nagar,845,2.0,1.0,55.0
Plot  Area,Ready To Move,Whitefield,4 Bedroom,Whitefield,5700,5.0,3.0,650.0
Built-up  Area,Ready To Move,Varthur,2 BHK,Varthur,1160,2.0,2.0,44.0
Built-up  Area,Ready To Move,Bommanahalli,8 Bedroom,Bommanahalli,3000,8.0,0.0,140.0
Super built-up  Area,Ready To Move,Doddathoguru,2 BHK,Doddathoguru,1100,2.0,1.0,62.0
Super built-up  Area,18-Apr,Gunjur,2 BHK,Gunjur,1140,2.0,3.0,43.0
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,Marathahalli,1220,2.0,1.0,57.0
Plot  Area,Ready To Move,Devarachikkanahalli,8 Bedroom,Devarachikkanahalli,1350,7.0,0.0,85.0
Super built-up  Area,Ready To Move,Kanakpura Road,2 BHK,Kanakpura Road,1005,2.0,1.0,36.68
Plot  Area,Ready To Move,Double Road,3 Bedroom,Double Road,500,3.0,2.0,100.0
Super built-up  Area,20-Aug,Begur Road,2 BHK,Begur Road,1358,2.0,1.0,80.58
Super built-up  Area,Ready To Move,Hegde Nagar,3 BHK,Hegde Nagar,1569,3.0,1.0,101.0
Super built-up  Area,18-Apr,Haralur Road,2 BHK,Haralur Road,1240,2.0,1.0,70.0
Super built-up  Area,Ready To Move,Hennur Road,3 BHK,Hennur Road,2089,3.0,2.0,140.0
Super built-up  Area,Ready To Move,Kothannur,2 BHK,Kothannur,1206,2.0,1.0,48.23
Super built-up  Area,Ready To Move,Kalena Agrahara,2 BHK,Kalena Agrahara,1150,2.0,3.0,40.0
Built-up  Area,Ready To Move,Cholanayakanahalli,3 BHK,Cholanayakanahalli,2511,3.0,3.0,205.0
Built-up  Area,Ready To Move,Kaval Byrasandra,2 BHK,Kaval Byrasandra,460,1.0,0.0,22.0
Built-up  Area,Ready To Move,ISRO Layout,6 Bedroom,ISRO Layout,4400,6.0,3.0,250.0
Super built-up  Area,Ready To Move,Kodanda Reddy Layout,3 BHK,Kodanda Reddy Layout,1660,2.0,2.0,105.0
Built-up  Area,18-Oct,Hennur Road,4 Bedroom,Hennur Road,2957 - 3450,0.0,0.0,224.5
Super built-up  Area,19-Mar,Yelahanka,2 BHK,Yelahanka,1326,2.0,2.0,78.0
Super built-up  Area,Ready To Move,Garudachar Palya,3 BHK,Garudachar Palya,1325,2.0,2.0,60.8
Super built-up  Area,Ready To Move,EPIP Zone,3 BHK,EPIP Zone,1499,5.0,2.0,102.0
Built-up  Area,Ready To Move,Hegde Nagar,6 Bedroom,Hegde Nagar,3000,7.0,2.0,210.0
Super built-up  Area,Ready To Move,Kanakpura Road,3 BHK,Kanakpura Road,1665,3.0,2.0,88.0
Super built-up  Area,17-Sep,Dasanapura,2 BHK,Dasanapura,708,2.0,2.0,37.0
